Id,SalePrice
2,128103.03055098155
4,271166.4839953972
6,193478.64859055416
7,244571.17565454307
17,258688.79661967905
18,370181.74780558224
22,217232.20562632414
27,92449.16148470243
31,103048.18416440269
36,167527.9169466522
39,366311.9714682575
40,255889.13060452385
42,287646.65505542245
46,215349.9245565105
53,169654.85286930364
58,195651.54685672428
61,301987.18918687815
72,222882.95497703317
79,123884.4860582827
80,219104.80118436363
82,161301.96620314088
83,76504.31071093009
85,150326.43196037263
88,115336.63015990981
92,349724.77078798984
93,323054.5508060666
95,183661.04606486214
102,168652.64083740694
103,210090.48309602533
106,268510.9914023123
107,195098.84782002316
110,232173.98339226932
114,221822.1579283475
116,197214.55331554575
117,176169.27066523067
118,139834.45585365928
125,163697.87482655045
126,184869.05319035248
127,121078.60726188801
128,190473.61923980052
134,119442.05010179864
135,156051.86819318534
137,266341.24753843015
143,129858.06037527692
147,133744.28014438527
148,182455.69078085446
150,86567.82582506901
156,130069.26066132795
157,87647.1069271533
159,174916.81501182631
161,284371.24907475687
167,146409.50001310094
170,94438.01529743601
171,31308.466564040806
175,56823.667123004794
179,114611.22882029656
181,93467.812001084
186,244406.22363291917
193,217719.27015119148
194,22332.035489051195
206,121155.97484002405
208,145679.45570449022
210,163058.08288118386
211,74650.39732095413
212,113617.79532327919
214,67430.83462253201
215,153098.0553215441
217,111614.06577171673
222,122535.19001318127
227,156354.90721023423
228,163636.0705903993
233,235790.1567510712
235,112500.44837951552
238,141120.86710849506
241,145521.36803664648
252,196022.0282306853
253,186616.33690179695
256,150846.45622619087
257,135076.1268894427
258,225717.96286549725
259,196290.1927980512
261,150091.85846823806
263,108389.97555236731
266,239427.14027007794
267,242027.1243924375
270,134847.7149861142
271,299852.02339204913
276,102241.9228409178
285,132904.5812484162
288,1384.168935085705
289,115047.1964853649
290,107710.27056214769
291,128941.99422668476
292,89560.22204519963
293,196223.75160311224
294,233535.4714370351
295,195652.76701824061
304,138648.99784513182
322,318183.2509986912
326,139603.08937491357
327,72381.83433043348
328,113418.79979452826
331,23695.85472957752
332,28637.765341366437
333,63921.042486550694
335,118129.23813440456
337,198744.8927097822
342,138974.3053624895
343,195975.76006542167
347,204773.4731049924
350,370977.80214834854
352,225613.5826793336
358,163580.15491092237
359,184591.848532366
360,137738.2543812335
368,276113.39421037876
369,249515.2590358849
373,219480.2988462524
377,279202.5266317846
383,174694.98430665783
386,247843.68196065156
387,266363.8786015812
390,191814.51805450287
391,150783.0468890332
395,161318.9632121829
397,111467.15608249765
398,94813.57708679241
401,87575.5679187442
404,152858.8608443866
408,105219.59445384235
409,161111.60997108524
410,171233.85740842132
418,159176.3874665336
422,413098.4286472001
427,320847.3517648558
431,417720.4061129296
433,469034.5276936018
437,358486.176085918
438,266022.8439453512
442,348131.8943865864
447,206590.41716534094
459,313945.31969240075
460,251110.73770668855
464,218212.18102930984
465,192581.18250406903
467,163583.50039923142
468,154782.5650052336
474,160432.78613345107
480,195168.92845799416
481,223665.56197557205
483,230676.9096817009
488,175355.66649035175
492,172225.13373576067
494,185100.19645092488
499,333433.89611312386
500,260582.86636916045
501,351911.73618338443
503,265741.73035761085
506,233656.47497141434
508,269918.5979752204
511,319322.0498189629
515,259297.84288651266
519,257667.61857119467
521,293333.5155233727
530,236423.4431334803
532,248178.92747353294
534,182955.62493734082
540,177658.59104259041
541,73571.77173024221
551,163042.68163443325
552,191878.80858533396
554,95460.09941306259
555,126623.90330579036
556,124359.9725042633
557,131033.08005077325
565,242690.71730819784
566,292076.67939260567
567,136441.72020379882
569,174004.26429701297
570,195918.36418695378
574,263282.38200622925
575,288242.0150448212
576,232098.77108104483
577,210465.2129810107
578,253862.01402861343
583,254597.9983690354
584,261524.34617826945
585,174630.42887671167
587,190749.25406467982
593,256962.79190581015
597,252244.45379451153
598,180342.58640626792
599,187144.72014319836
600,82005.48530129029
605,179513.82326609388
607,156527.60607806014
608,157892.9120884385
611,190614.15257371854
616,94493.64729199346
625,174621.13060014494
629,146009.60504603802
630,87085.5899399576
631,125146.52088865745
640,233331.8367149837
642,148056.69180277377
643,135603.46467794586
646,72045.5453034885
647,132931.28951697025
655,3342.6559689424175
659,54570.48089892574
663,-66495.20517928673
665,74823.82332181669
667,267262.456375125
673,158873.24082154038
676,107783.2931178734
680,146787.99071730362
682,119052.52839602085
687,158360.8395174422
688,176734.49809262852
692,123640.54989647368
693,87074.86209589045
695,214363.0018861573
697,99161.4555817876
700,170316.84693954934
702,157383.5935435226
703,152934.07049736232
704,69123.21713091407
712,57614.83484988357
713,53358.68604220907
